"row_id","status","distinct_person_count_display","limiting_factor","interpretation","recommended_next_step","notes","count_mode","source_tables","person_key_used","date_anchor_used","value_rule_used","generated_at","validation_status"
"base_mcl_cohort","ready_for_feasibility_report","1,417","","Base MCL denominator availability.","Keep validating denominator semantics.","","production_aggregate","","","","","2026-05-22T20:23:15+0200","answerability_summary"
"younger_proxy_available","ready_for_feasibility_report","411","age/date anchor","Younger proxy availability, not transplant eligibility.","Fix age-anchor production query if unavailable.","","production_aggregate","","","","","2026-05-22T20:23:15+0200","answerability_summary"
"ibrutinib_exposure_available","possibly_ready_for_descriptive_outcomes_study","115","ibrutinib value mapping","Ibrutinib exposure must be validated before treatment-strategy strata.","Validate medication/code predicates.","","production_aggregate","","","","","2026-05-22T20:23:15+0200","answerability_summary"
"first_line_asct_hdt_available","ready_for_feasibility_report","336","","First-line ASCT/HDT availability.","Keep Rec_* separate from first-line Beh_* evidence.","","production_aggregate","","","","","2026-05-22T20:23:15+0200","answerability_summary"
"treatment_strategy_strata_available","ready_for_descriptive_treatment_pattern_study","","Ibrutinib x ASCT/HDT intersections","Treatment-strategy strata are descriptive only.","Run aggregate intersection queries after Ibrutinib mapping is validated.","","production_aggregate","","","","","2026-05-22T20:23:15+0200","answerability_summary"
"high_risk_biology_available","possibly_ready_for_descriptive_outcomes_study","","biology component mappings","High-risk biology classifiability is incomplete until components are validated.","Validate TP53, morphology, Ki-67 threshold, and MIPI-c component rules.","","production_aggregate","","","","","2026-05-22T20:23:15+0200","answerability_summary"
"ki67_available","ready_for_feasibility_report","37","","Ki-67 AEKI availability.","Validate source-specific clinical semantics and timing.","","production_aggregate","","","","","2026-05-22T20:23:15+0200","answerability_summary"
"outcome_available","ready_for_feasibility_report","779","","Outcome availability.","Validate outcome timing for landmark designs.","","production_aggregate","","","","","2026-05-22T20:23:15+0200","answerability_summary"
"landmark_design_available","not_ready_for_risk_adapted_deescalation_answer","","landmark-compatible intersections","Landmark design is unavailable until date-window intersections are populated.","Implement landmark-specific aggregate SQL.","","production_aggregate","","","","","2026-05-22T20:23:15+0200","answerability_summary"
"overall_answerability","not_ready_for_risk_adapted_deescalation_answer","","Ibrutinib x ASCT/HDT, high-risk biology, outcomes, and landmark intersections","Current counts support feasibility reporting but do not answer risk-adapted ASCT de-escalation.","Populate treatment-strategy, biology, outcome, and landmark intersections with non-suppressed cells >=20.","","production_aggregate","","","","","2026-05-22T20:23:15+0200","answerability_summary"
