concept_group	concept_name	atlas_search_terms	expected_sources	preferred_sources	notes	required_for_feasibility	high_priority
Cohort definition	MCL cohort	mantle cell lymphoma|MCL|C83.1|DC831|lymphoma subtype MCL	RKKP_LYFO;diagnoses_all;t_dalycare_diagnoses	RKKP_LYFO	Primary feasibility anchor for a mantle cell lymphoma cohort.	TRUE	TRUE
Cohort definition	LYFO MCL subtype	Reg_Subtype|Reg_WHOHistologikode1|Reg_WHOHistologikode2|MCL|mantle cell	RKKP_LYFO	RKKP_LYFO	Registry subtype or WHO histology evidence for MCL identification.	TRUE	TRUE
Cohort definition	ICD or morphology evidence	C83.1|DC831|ICD|WHO histology|morphology|SNOMED	diagnoses_all;SDS_pato;RKKP_LYFO	RKKP_LYFO;diagnoses_all	Diagnosis, histology, or pathology code support for cohort validation.	FALSE	TRUE
Eligibility / transplant-fit proxy	Age at diagnosis	age at diagnosis|diagnosis age|Reg_Alder|age_diagnosis|age	RKKP_LYFO;t_dalycare_diagnoses;patient	RKKP_LYFO	Younger-patient proxy; do not infer transplant fitness from age alone.	TRUE	TRUE
Eligibility / transplant-fit proxy	Age <=65	age <=65|younger|transplant eligible|transplant fit|young patient	RKKP_LYFO;patient	RKKP_LYFO	Age threshold feasibility marker; patient-level implementation requires analytic code.	FALSE	TRUE
Eligibility / transplant-fit proxy	Performance status	ECOG|performance status|Reg_PS|Reg_PerformanceStatusWHO|WHO performance	RKKP_LYFO	RKKP_LYFO	Functional-status proxy for transplant eligibility and prognostic adjustment.	TRUE	TRUE
Eligibility / transplant-fit proxy	Stage II-IV	Ann Arbor|stage II|stage III|stage IV|Reg_AnnArbor|Reg_Stadium	RKKP_LYFO	RKKP_LYFO	Lymphoma stage supports eligibility and MIPI-related covariate review.	FALSE	TRUE
Eligibility / transplant-fit proxy	Diagnosis date	diagnosis date|date_diagnosis|diagnose_dt|diagnosis_date|Reg_DiagnoseDato	RKKP_LYFO;t_dalycare_diagnoses;diagnoses_all	RKKP_LYFO;diagnoses_all	Required for treatment-timing windows.	TRUE	TRUE
Eligibility / transplant-fit proxy	Treatment start date	treatment start|first treatment date|regimen start|Beh_KemoterapiStart_dt|start date	RKKP_LYFO;SP_Behandlingsplaner_Del1;SP_Behandlingsplaner_Del2	RKKP_LYFO	Required to assess first-line timing feasibility.	TRUE	TRUE
Eligibility / transplant-fit proxy	Transplant eligibility proxy	transplant eligible|fit|performance|age|stage|HDT eligible	RKKP_LYFO	RKKP_LYFO	Proxy bundle only; formal eligibility requires study definitions.	FALSE	TRUE
Treatment exposures	First-line immunochemotherapy	first-line|1st line|immunochemotherapy|CIT|chemoimmunotherapy|induction	RKKP_LYFO;SP_Behandlingsplaner_Del1;SP_AdministreretMedicin	RKKP_LYFO	Feasibility for induction/immunochemotherapy classification.	TRUE	TRUE
Treatment exposures	CIT / regimen	CIT|immunochemotherapy|regimen|Beh_Kemoterapiregime|protocol|kemo	RKKP_LYFO;SP_Behandlingsplaner_Del1;SP_AdministreretMedicin	RKKP_LYFO	Registry regimen fields and treatment-plan signals are preferred.	TRUE	TRUE
