"denominator","biology_component","timing_window","distinct_person_count_display","percent_of_denominator_display","value_rule_used","source_locations","validation_status","count_status","notes","count_mode","source_tables","person_key_used","date_anchor_used","generated_at"
"all_lyfo_mcl","blastoid_pleomorphic_known","near_diagnosis","","","validated blastoid/pleomorphic source evidence","LYFO histology/PATOBANK","requires_component_value_mapping","count_not_available_requires_value_mapping","Blastoid/pleomorphic classifiability requires source-specific value mappings.","production_aggregate","","","","2026-05-22T20:23:15+0200"
"all_lyfo_mcl","blastoid_pleomorphic_high_risk_yes","near_diagnosis","","","blastoid or pleomorphic morphology positive","LYFO histology/PATOBANK","requires_component_value_mapping","count_not_available_requires_value_mapping","Positive high-risk morphology is not inferred without validated values.","production_aggregate","","","","2026-05-22T20:23:15+0200"
"all_lyfo_mcl","ki67_aeki_known","near_diagnosis","37","2.6%","valid AEKI000-AEKI100","public.SDS_pato.c_snomedkode","coded_aeki_numeric_percent_count_available","production_aggregate_count_available","Ki-67 knownness from aggregate coded AEKI route; source-specific validation still required.","production_aggregate","","","","2026-05-22T20:23:15+0200"
"all_lyfo_mcl","ki67_aeki_high_threshold","near_diagnosis","20","1.4%","AEKI parsed percent >= 30","public.SDS_pato.c_snomedkode","coded_aeki_threshold_count_available","production_aggregate_count_available","Ki-67 high threshold from aggregate AEKI route; this does not make missing Ki-67 standard-risk evidence.","production_aggregate","","","","2026-05-22T20:23:15+0200"
"all_lyfo_mcl","tp53_p53_del17p_known","near_diagnosis","","","validated TP53/p53/del17p evidence","pathology/FISH/molecular","requires_component_value_mapping","count_not_available_requires_value_mapping","TP53/p53/del17p classifiability requires validated source mappings.","production_aggregate","","","","2026-05-22T20:23:15+0200"
"all_lyfo_mcl","tp53_p53_del17p_high_risk_yes","near_diagnosis","","","TP53 mutation/deletion/aberration or high p53 expression","pathology/FISH/molecular","requires_component_value_mapping","count_not_available_requires_value_mapping","TP53 high-risk positivity requires validated values.","production_aggregate","","","","2026-05-22T20:23:15+0200"
"all_lyfo_mcl","mipi_computable","near_diagnosis","1,417","100%","MIPI component availability","RKKP_LYFO/labs","aggregate_evidence_found_requires_validation","production_aggregate_count_available","MIPI computable is component availability, not a calculated score.","production_aggregate","","","","2026-05-22T20:23:15+0200"
"all_lyfo_mcl","mipi_high","near_diagnosis","","","MIPI high risk","RKKP_LYFO/labs","requires_component_value_mapping","count_not_available_requires_value_mapping","MIPI high-risk classification requires score computation.","production_aggregate","","","","2026-05-22T20:23:15+0200"
"all_lyfo_mcl","mipi_c_computable","near_diagnosis","1,417","100%","MIPI-c component availability including Ki-67","RKKP_LYFO/labs/Ki-67","aggregate_evidence_found_requires_validation","production_aggregate_count_available","MIPI-c requires Ki-67 validation.","production_aggregate","","","","2026-05-22T20:23:15+0200"
"all_lyfo_mcl","mipi_c_high","near_diagnosis","","","MIPI-c high risk","RKKP_LYFO/labs/Ki-67","requires_component_value_mapping","count_not_available_requires_value_mapping","MIPI-c high-risk classification requires score computation.","production_aggregate","","","","2026-05-22T20:23:15+0200"
"all_lyfo_mcl","any_high_risk_biology_known","near_diagnosis","","","any high-risk biology component known","Ki-67; TP53; morphology; MIPI-c","requires_component_intersection_query","count_not_available_requires_production_validation","Requires union of known biology components inside the database.","production_aggregate","","","","2026-05-22T20:23:15+0200"
"all_lyfo_mcl","standard_risk_biology_classifiable","near_diagnosis","","","all required high-risk components known and negative","Ki-67; TP53; morphology; MIPI-c","requires_component_value_mapping","count_not_available_requires_value_mapping","Missing high-risk components must not be treated as standard risk.","production_aggregate","","","","2026-05-22T20:23:15+0200"
"all_lyfo_mcl","high_risk_biology_classifiable","near_diagnosis","","","high-risk or standard-risk classifiable","Ki-67; TP53; morphology; MIPI-c","requires_component_value_mapping","count_not_available_requires_value_mapping","Risk biology classifiability requires component evidence and value semantics.","production_aggregate","","","","2026-05-22T20:23:15+0200"
